block,hospitals_within_circle
block_no :623,20.0
block_no :624,19.0
block_no :625,22.0
block_no :626,20.0
block_no :627,21.0
block_no :628,34.0
block_no :629,36.0
block_no :630,24.0
block_no :631,23.0
block_no :632,22.0
block_no :633,19.0
block_no :634,19.0
block_no :635,19.0
block_no :636,19.0
block_no :637,17.0
block_no :638,18.0
block_no :639,18.0
block_no :640,16.0
block_no :641,14.0
block_no :642,14.0
block_no :643,15.0
block_no :644,14.0
block_no :645,11.0
block_no :646,5.0
block_no :647,9.0
block_no :648,18.0
block_no :649,18.0
block_no :650,15.0
block_no :651,20.0
block_no :652,18.0
block_no :653,16.0
block_no :654,8.0
block_no :655,11.0
block_no :656,2.0
block_no :657,3.0
block_no :658,3.0
block_no :659,3.0
block_no :660,3.0
block_no :661,3.0
block_no :662,3.0
block_no :663,3.0
block_no :664,3.0
block_no :665,3.0
block_no :666,4.0
block_no :667,3.0
block_no :668,5.0
block_no :669,5.0
block_no :670,5.0
block_no :671,5.0
block_no :672,3.0
block_no :673,11.0
block_no :674,38.0
block_no :675,11.0
block_no :676,18.0
block_no :677,5.0
block_no :678,5.0
block_no :679,5.0
block_no :680,4.0
block_no :681,3.0
block_no :682,4.0
block_no :683,3.0
block_no :684,4.0
block_no :685,3.0
block_no :686,3.0
block_no :687,3.0
block_no :688,3.0
block_no :689,3.0
block_no :690,3.0
block_no :691,3.0
block_no :692,3.0
block_no :693,3.0
block_no :694,4.0
block_no :695,4.0
block_no :696,4.0
block_no :697,4.0
block_no :698,4.0
block_no :699,3.0
block_no :700,4.0
block_no :701,4.0
block_no :702,4.0
block_no :703,4.0
block_no :704,4.0
block_no :705,4.0
block_no :706,4.0
block_no :707,4.0
block_no :708,4.0
block_no :709,4.0
block_no :710,3.0
block_no :711,3.0
block_no :712,3.0
block_no :713,3.0
block_no :714,3.0
block_no :715,3.0
block_no :716,0.0
block_no :717,5.0
block_no :718,3.0
block_no :719,5.0
block_no :720,5.0
block_no :721,3.0
block_no :722,5.0
block_no :723,5.0
block_no :724,5.0
block_no :725,5.0
block_no :726,5.0
block_no :727,5.0
block_no :728,5.0
block_no :729,5.0
block_no :730,6.0
block_no :731,5.0
block_no :732,4.0
block_no :733,3.0
block_no :734,104.0
block_no :735,99.0
block_no :736,110.0
block_no :737,105.0
block_no :738,102.0
block_no :739,113.0
block_no :740,110.0
block_no :741,108.0
block_no :742,112.0
block_no :743,105.0
block_no :744,105.0
block_no :745,102.0
block_no :746,98.0
block_no :747,99.0
block_no :748,97.0
block_no :749,97.0
block_no :750,98.0
block_no :751,92.0
block_no :752,96.0
block_no :753,93.0
block_no :754,94.0
block_no :755,91.0
block_no :756,96.0
block_no :757,89.0
block_no :758,86.0
block_no :759,96.0
block_no :760,98.0
block_no :761,96.0
block_no :762,85.0
block_no :763,90.0
block_no :764,90.0
block_no :765,102.0
block_no :766,100.0
block_no :767,91.0
block_no :768,114.0
block_no :769,111.0
block_no :770,107.0
block_no :771,115.0
block_no :772,114.0
block_no :773,96.0
block_no :774,91.0
block_no :775,91.0
block_no :776,100.0
block_no :777,106.0
block_no :778,109.0
block_no :779,90.0
block_no :780,88.0
block_no :781,93.0
block_no :782,96.0
block_no :783,94.0
block_no :784,92.0
block_no :785,95.0
block_no :786,85.0
block_no :787,82.0
block_no :788,80.0
block_no :789,79.0
block_no :790,93.0
block_no :791,91.0
block_no :792,88.0
block_no :793,86.0
block_no :794,87.0
block_no :795,87.0
block_no :796,89.0
block_no :797,86.0
block_no :798,89.0
block_no :799,87.0
block_no :800,84.0
block_no :801,74.0
block_no :802,82.0
block_no :803,78.0
block_no :804,83.0
block_no :805,72.0
block_no :806,80.0
block_no :807,77.0
block_no :808,79.0
block_no :809,74.0
block_no :810,70.0
block_no :811,69.0
block_no :812,65.0
block_no :813,63.0
block_no :814,62.0
block_no :815,58.0
block_no :816,68.0
block_no :817,72.0
block_no :818,74.0
block_no :819,72.0
block_no :820,72.0
block_no :821,75.0
block_no :822,79.0
block_no :823,73.0
block_no :824,77.0
block_no :825,71.0
block_no :826,62.0
block_no :827,62.0
block_no :828,63.0
block_no :829,60.0
block_no :830,56.0
block_no :831,49.0
block_no :832,45.0
block_no :833,58.0
block_no :834,52.0
block_no :835,45.0
block_no :836,47.0
block_no :837,38.0
block_no :838,41.0
block_no :839,35.0
block_no :840,16.0
block_no :841,28.0
block_no :842,20.0
block_no :843,23.0
block_no :844,32.0
block_no :845,50.0
block_no :846,41.0
block_no :847,33.0
